Software Name,Version,EOL Date,Release Date
 Prisma Access Browser,11.2,2027-05-02,2024-05-02
 Prisma Access Browser,11.1,2027-05-03,2023-11-03
 Prisma Access Browser,11.0,2024-11-17,2022-11-17
 Prisma Access Browser,10.2+,2025-08-27,2022-02-27
 Prisma Access Browser,10.1+,2024-12-01,2021-05-31
 Prisma Access Browser,10.0+,2022-07-16,2020-07-16
 Prisma Access Browser,9.1+,2024-06-30,2019-12-13
 Prisma Access Browser,9.0-XFR (VM-Series only),2020-09-19,2019-09-19
 Prisma Access Browser,9.0,2022-03-01,2019-02-06
 Prisma Access Browser,8.1+,2022-03-01,2018-03-01
 Prisma Access Browser,8.0,2019-10-31,2017-01-29
 Prisma Access Browser,7.1,2020-06-30,2016-03-29
 Prisma Access Browser,7.0,2017-12-04,2015-06-04
 Prisma Access Browser,6.1,2018-10-25,2014-10-25
 Prisma Access Browser,6.0,2017-03-19,2014-01-19
 Prisma Access Browser,5.1 (Panorama only),2017-05-09,2013-05-09
 Prisma Access Browser,5.0,2016-11-13,2012-11-13
 Prisma Access Browser,4.1,2015-04-30,2011-10-31
 Prisma Access Browser,4.0,2014-12-31,2011-02-22
 Prisma Access Browser,3.1,2013-06-30,2010-03-15
 Prisma Access Browser,3.0,2010-12-17,2009-06-17
 Prisma Access Browser,2.1,2012-01-05,2009-01-05
 Prisma Access Browser,2.0,2009-05-20,2008-05-20
 Prisma Access Browser,1.3,2008-11-20,2007-11-15
